319;Шали;Город;Чеченская Республика;Северо-Кавказский;50 412;51 268;52 405;Прирост
320;Гудермес;Город;Чеченская Республика;Северо-Кавказский;50 009;51 215;52 603;Прирост
321;Назарово;Город;Красноярский край;Сибирский;51 437;51 069;50 652;Прирост
322;Сертолово;Город;Ленинградская область;Северо-Западный;50 447;50 899;51 090;Прирост
323;Яблоновский;Посёлок городского типа;Республика Адыгея;Южный;28 873;30 518;32 039;Прирост
324;Энем;Посёлок городского типа;Республика Адыгея;Южный;18 392;18 787;19 091;Прирост
325;Гиагинская;Станица;Республика Адыгея;Южный;13 845;13 759;13 788;Прирост
326;Адыгейск;Город;Республика Адыгея;Южный;12 481;12 659;12 689;Прирост
327;Ханская;Станица;Республика Адыгея;Южный;11 660;11 757;11 767;Прирост
328;Тульский;Посёлок;Республика Адыгея;Южный;10 887;10 869;10 862;Прирост
329;Майма;Село;Республика Алтай;Сибирский;16 678;17 300;17 824;Прирост
330;Бирск;Город;Республика Башкортостан;Приволжский;44 679;45 553;н/д;Прирост
331;Учалы;Город;Республика Башкортостан;Приволжский;37 681;37 480;37 516;Прирост
332;Благовещенск;Город;Республика Башкортостан;Приволжский;34 883;35 013;35 037;Прирост
